date,trip_count,avg_fare,total_fare,avg_total_amount,total_revenue,avg_distance,avg_duration,avg_tip,avg_passengers,source_file
2018-10-28,259652,13.507429366998906,3507231.05,16.770314382327115,4354445.67,3.273611372144255,13.963189897760591,1.8686585506755196,1.6318828958375902,2018-10
2018-10-29,261466,13.196586210061728,3450458.61,16.713506536222685,4370013.7,3.0539137402186136,14.535608836330537,1.9191548423121936,1.541604407561512,2018-10
2018-10-30,278494,13.154323396554325,3663400.14,16.624533849921363,4629832.93,2.8659055491321177,15.400483373669331,1.9342488168506322,1.5373089245838683,2018-10
2018-10-31,270529,12.905188464083333,3491227.73,16.277590092004925,4403560.17,2.831202311027653,14.663342562165239,1.847151913473232,1.557491934498124,2018-10
2018-11-01,310108,13.582359952016718,4211998.48,17.12626088330517,5310990.51,2.9795501889664244,15.993787379450602,1.969317979542611,1.5539978426699221,2018-11
2018-11-02,303863,13.40361735387329,4072863.38,16.885313677545472,5130822.07,2.8996744914649035,15.833106367014082,1.9140863481239903,1.5804754558759542,2018-11
2018-11-03,295111,12.399385011063634,3659194.91,15.280593336066767,4509471.18,2.715719542816093,14.017572992309109,1.6708153542226485,1.6439686340480664,2018-11
2018-11-04,249234,13.36941821741817,3332113.58,16.660582986269933,4152383.74,3.2691433351789887,13.561195503021256,1.887400515178507,1.6431684090881706,2018-11
2018-11-05,268847,13.581387108652878,3651315.18,17.1983919478365,4623736.08,3.026653263752246,15.854016410821025,1.997687978664445,1.5406875787182983,2018-11
2018-11-06,274776,12.978961517745363,3566307.13,16.20570846798847,4452939.75,2.803711677875797,15.123371218738173,1.9383962937083299,1.544127344999581,2018-11
2018-11-07,288028,13.653603156637548,3932620.01,17.294725964142376,4981365.33,2.9551341536239533,16.25235567375394,2.0619137028344467,1.53920753574994,2018-11
2018-11-08,297881,14.1136659941386,4204192.94,17.84094094621678,5314477.33,2.9932566360392237,17.19862176506726,2.1249173663308505,1.5385401813339072,2018-11
2018-11-09,294670,14.0311637424916,4134563.02,17.68014864085248,5209809.4,2.955338887569145,17.302183798825805,2.0697872874741234,1.5696699023846425,2018-11
2018-11-10,308428,12.683784967642367,3912034.43,15.653212256993529,4827888.95,2.755743285304836,14.53821556408627,1.737491505310802,1.63896217689724,2018-11
2018-11-11,254949,13.876698633844416,3537850.44,17.24735358836473,4397195.55,3.2593987032700658,14.933061448891086,1.9657965318553907,1.617685407732064,2018-11
2018-11-12,258061,13.029856894300185,3362497.9,16.43997399839573,4242516.13,3.0980457333731173,13.66575480215918,1.978104052917721,1.5502402542044487,2018-11
2018-11-13,284223,13.276016261878876,3773349.17,16.87140206809442,4795240.51,2.8690819532550145,15.64628314152385,2.0393280276402685,1.5359439870522835,2018-11
2018-11-14,297189,13.64911712748453,4056367.47,17.302607095148204,5142144.5,2.878716372409477,16.486857409482408,2.0933397265713065,1.5392313231444281,2018-11
2018-11-15,228186,15.20167779793677,3468810.05,18.906080872621455,4314102.97,2.8082878879510575,20.437754434248085,2.2817421752430036,1.5295687615040758,2018-11
2018-11-16,297574,13.60336581825025,4048007.98,17.289674568342665,5144957.62,3.1232607687499576,15.205040370910542,2.050336823781648,1.5629870850010585,2018-11
2018-11-17,302234,12.451781401165984,3763351.7,15.41483360574919,4658886.82,2.802951554093848,13.811421337991975,1.72535697505906,1.6352194182595432,2018-11
2018-11-18,253661,12.71205735213533,3224553.18,15.793983899771742,4006317.75,3.0572279144212158,13.052721020049068,1.7661361423316946,1.6247388215628917,2018-11
2018-11-19,254071,13.13811029200499,3338012.82,16.542588095453635,4202991.9,2.8827417139303577,15.165374901766304,1.8576047246635783,1.5430190033967044,2018-11
2018-11-20,276557,13.287767621141391,3674825.15,16.72866389207288,4626429.1,2.823591628488883,16.090654488345383,1.9012211225895566,1.5502619052794018,2018-11
2018-11-21,258047,12.962404755722796,3344909.66,16.256384379589765,4194911.22,2.7685820412560505,15.278465098735245,1.768040977031316,1.583432977203553,2018-11
2018-11-22,172622,12.179419830612552,2102435.81,14.918009118188873,2575176.57,3.0581685995991243,11.451123456647085,1.4471010647542029,1.6596731859147078,2018-11
2018-11-23,193873,11.574136367622103,2243912.54,14.451184435171479,2801694.48,2.692478168698065,11.76808572278416,1.3986855312498387,1.6602076124567473,2018-11
2018-11-24,225069,12.567863544068707,2828636.48,15.49018931971973,3486361.42,2.989811346742554,13.096717895400968,1.6138146079646687,1.6764312115537725,2018-11
2018-11-25,204182,14.080531094807574,2874991.0,17.4993855481874,3573059.54,3.582091565368152,13.964474015012751,1.9528062708759832,1.6261997126084462,2018-11
2018-11-26,253337,13.446908623690973,3406599.49,17.02729644702511,4313644.2,3.050860395441645,15.484260885697708,1.966200633938193,1.5449836088911386,2018-11
2018-11-27,278088,13.292603348580306,3696513.48,16.853439810419722,4686739.37,2.9621847760421165,15.209418661239127,1.9821190054946636,1.5367843781169768,2018-11
2018-11-28,281176,13.418627621134094,3772996.04,16.992912232907504,4777999.09,2.8880106765869065,15.71317875636612,2.015025037698808,1.538517177734862,2018-11
2018-11-29,296236,13.826580361603586,4095930.86,17.491795089050623,5181699.41,2.937015825220432,16.74478709542392,2.0735681011085756,1.5440493179220462,2018-11
2018-11-30,303405,13.627196123992682,4134559.44,17.172983009508744,5210368.91,2.907260229725944,16.466147833204243,1.977301890212752,1.57390649811986,2018-11
2018-12-01,306131,12.570632082343833,3848260.17,15.492993555046697,4742885.61,2.6984802911172014,14.540209637921892,1.7003862398776994,1.6426513627965533,2018-12
2018-12-02,259822,12.801276604752484,3326053.29,15.963141304431497,4147575.3000000003,3.057030928866686,13.416269279224494,1.8053894204493846,1.6282958372833283,2018-12
2018-12-03,265342,13.58184923608023,3603835.04,17.24431740923035,4575641.67,3.1019105531728863,15.26812654360536,2.0209991256566995,1.545980700111752,2018-12
